symbol,name,source_category,instrument_type,sector,status
BUNGAL,Bungal Hydro Limited,Hydropower,ordinary,Hydropower,listed
C30MF,Citizens Super 30 Mutual Fund,Mutual Fund,mutual_fund,,listed
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
CBL,Civil Bank Limited,Merged,ordinary,,merged
CBLD88,10.25% Civil Bank Debenture 2088,Corporate Debentures,debenture,,listed
CCBD88,10.50% Century Debenture 2088,Corporate Debentures,debenture,,listed
CCBL,Century Commercial Bank Limited,Merged,ordinary,,merged
CFCL,Central Finance Limited,Finance,ordinary,Finance,listed
CFL,Crystal Finance Limited,Non Category,ordinary,,listed
CGH,Chandragiri Hills Limited,Hotel & Tourism,ordinary,Hotel & Tourism,listed
CHCL,Chilime Hydro power Company Limited,Hydropower,ordinary,Hydropower,listed
CHDC,CEDB Holdings Limited,Investment,ordinary,Investment,listed
CHL,Chhyangdi Hydropower Company Limited,Hydropower,ordinary,Hydropower,listed
CIT,Citizen Investment Trust,Investment,ordinary,Investment,listed
CITY,City Hotel Limited,Hotel & Tourism,ordinary,Hotel & Tourism,listed
CIZBD86,10.25% Citizens Bank Debenture 2086,Corporate Debentures,debenture,,listed
CIZBD90,10% Citizens Bank Debenture 2090,Corporate Debentures,debenture,,listed
CKHL,Chirkhwa Hydro Power Limited,Hydropower,ordinary,Hydropower,listed
CLI,Citizen Life Insurance Company Limited,Life Insurance,ordinary,Life Insurance,listed
CMB,Capital Merchant Banking & Finance Limited,Finance,ordinary,Finance,listed
